Unnamed: 0,date,weight_lbs,exer,food,weight_kgs
0.0,2024-11-19,160.4,1,5,72.7561568
1.0,2024-11-20,159.2,1,6,72.2118464
2.0,2024-11-21,159.0,0,5,72.121128
3.0,2024-11-22,159.2,1,6,72.2118464
4.0,2024-11-23,159.0,0,5,72.121128
5.0,2024-11-24,159.0,1,4,72.121128
6.0,2024-11-25,158.8,1,2,72.0304096
7.0,2024-11-26,159.0,1,5,72.121128
8.0,2024-11-27,159.0,0,5,72.121128
9.0,2024-11-28,157.0,1,6,71.213944
10.0,2024-11-29,161.0,1,2,73.028312
11.0,2024-11-30,159.0,0,4,72.121128
12.0,2024-12-01,154.8,1,8,70.21604160000001
13.0,2024-12-02,156.8,0,6,71.1232256
14.0,2024-12-03,159.6,1,5,72.3932832
15.0,2024-12-04,158.0,0,5,71.667536
16.0,2024-12-05,159.2,1,5,72.2118464
17.0,2024-12-06,159.0,1,5,72.121128
18.0,2024-12-07,158.0,1,5,71.667536
19.0,2024-12-08,159.0,1,4,72.121128
20.0,2024-12-09,158.4,1,4,71.8489728
21.0,2024-12-10,159.6,1,5,72.3932832
22.0,2024-12-11,158.0,0,5,71.667536
23.0,2024-12-12,154.8,1,7,70.21604160000001
24.0,2024-12-13,154.2,1,7,69.9438864
25.0,2024-12-14,155.6,1,7,70.5789152
26.0,2024-12-15,156.4,0,3,70.9417888
27.0,2024-12-16,155.8,1,7,70.6696336
28.0,2024-12-17,156.0,1,7,70.760352
29.0,2024-12-18,154.8,1,7,70.21604160000001
30.0,2024-12-19,154.8,1,7,70.21604160000001
31.0,2024-12-20,155.4,1,7,70.4881968
32.0,2024-12-21,156.0,0,4,70.760352
33.0,2024-12-22,155.2,1,4,70.3974784
34.0,2024-12-23,155.6,0,4,70.5789152
35.0,2024-12-24,156.4,1,5,70.9417888
36.0,2024-12-25,157.4,1,2,71.3953808
37.0,2024-12-26,156.0,1,4,70.760352
38.0,2024-12-27,156.0,1,4,70.760352
39.0,2024-12-28,156.4,1,3,70.9417888
40.0,2024-12-29,157.4,0,3,71.3953808
41.0,2024-12-30,158.6,1,1,71.9396912
42.0,2024-12-31,158.8,1,2,72.0304096
43.0,2025-01-01,161.4,1,1,73.2097488
44.0,2025-01-02,160.0,1,1,72.57472
45.0,2025-01-03,158.8,1,6,72.0304096
46.0,2025-01-04,160.6,1,1,72.8468752
47.0,2025-01-05,158.6,1,1,71.9396912
48.0,2025-01-06,157.6,1,1,71.4860992
49.0,2025-01-07,160.0,1,1,72.57472
50.0,2025-01-08,161.4,1,1,73.2097488
51.0,2025-01-09,159.2,1,8,72.2118464
52.0,2025-01-10,158.4,1,6,71.8489728
53.0,2025-01-11,159.2,1,2,72.2118464
54.0,2025-01-12,160.0,0,1,72.57472
55.0,2025-01-13,161.2,0,1,73.1190304
56.0,2025-01-14,160.2,1,5,72.6654384
57.0,2025-01-15,161.2,0,1,73.1190304
58.0,2025-01-16,161.2,0,1,73.1190304
59.0,2025-01-17,160.0,0,6,72.57472
60.0,2025-01-18,159.2,1,6,72.2118464
61.0,2025-01-19,158.8,0,3,72.0304096
62.0,2025-01-20,159.2,1,6,72.2118464
63.0,2025-01-21,159.4,1,5,72.3025648
64.0,2025-01-22,158.4,1,6,71.8489728
65.0,2025-01-23,159.6,1,5,72.3932832
66.0,2025-01-24,157.4,1,5,71.3953808
67.0,2025-01-25,158.8,1,6,72.0304096
68.0,2025-01-26,160.0,0,3,72.57472
69.0,2025-01-27,160.0,0,4,72.57472
70.0,2025-01-28,159.0,0,4,72.121128
71.0,2025-01-29,158.8,0,4,72.0304096
72.0,2025-01-30,157.6,1,6,71.4860992
73.0,2025-01-31,158.8,0,3,72.0304096
74.0,2025-02-01,157.8,0,6,71.5768176
75.0,2025-02-02,160.0,0,2,72.57472
76.0,2025-02-03,159.8,0,4,72.4840016
77.0,2025-02-04,160.0,1,3,72.57472
78.0,2025-02-05,158.8,1,6,72.0304096
79.0,2025-02-06,158.8,0,5,72.0304096
80.0,2025-02-07,158.8,1,3,72.0304096
81.0,2025-02-08,160.0,0,2,72.57472
82.0,2025-02-09,158.6,1,5,71.9396912
83.0,2025-02-10,158.8,0,6,72.0304096
84.0,2025-02-11,159.0,1,5,72.121128
85.0,2025-02-12,158.6,1,5,71.9396912
86.0,2025-02-13,158.0,0,5,71.667536
87.0,2025-02-14,158.6,1,5,71.9396912
